ean;locale;title;description;category;colour;manufacturer;picture;material;size
4000000000157;de-DE;Yonex Cycling Jersey with breathable design;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Gelb;Yonex;https://example.com/products/0157.jpg;Aluminium;L
4000000000158;de-DE;Yonex Cycling Jersey with lightweight design;Sport product with performance-focused materials and a lightweight feel.;Sports;Schwarz;Yonex;https://example.com/products/0158.jpg;Polyester;S
4000000000159;de-DE;Babolat Yoga Mat with performance design;Sport product with performance-focused materials and a lightweight feel.;Sports;Gelb;Babolat;https://example.com/products/0159.jpg;Aluminium;L
4000000000160;de-DE;Babolat Yoga Mat with breathable design;Athletic gear designed for workouts, training, and competitive use.;Sports;Grün;Babolat;https://example.com/products/0160.jpg;Aluminium;One Size
4000000000161;de-DE;durable Cycling Jersey for training and competition;Athletic gear designed for workouts, training, and competitive use. Available in gelb with carbon details and lightweight features.;Sports;Gelb;Babolat;https://example.com/products/0161.jpg;Carbon;XL
4000000000162;de-DE;Decathlon Water Bottle for home and travel;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Grün;Decathlon;https://example.com/products/0162.jpg;Aluminium;M
4000000000163;de-DE;lightweight Water Bottle for training and competition;Athletic gear designed for workouts, training, and competitive use.;Sports;Gelb;Garmin;https://example.com/products/0163.jpg;Carbon;L
4000000000164;de-DE;Running Racket for active performance and fitness;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Gelb;Garmin;https://example.com/products/0164.jpg;Aluminium;XL
4000000000165;de-DE;Decathlon Fitness Tracker with breathable design;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Grün;Decathlon;https://example.com/products/0165.jpg;Aluminium;One Size
4000000000166;de-DE;athletic Football for training and competition;Sport product with performance-focused materials and a lightweight feel.;Sports;Grün;Puma;https://example.com/products/0166.jpg;Polyester;XL
4000000000167;de-DE;Nike Yoga Mat with portable design;Athletic gear designed for workouts, training, and competitive use.;Sports;Grün;Nike;https://example.com/products/0167.jpg;Polyester;One Size
4000000000168;de-DE;Water Bottle for active performance and fitness;Sport product with performance-focused materials and a lightweight feel. Available in blau with polyester details and shock-absorbing features.;Sports;Blau;Garmin;https://example.com/products/0168.jpg;Polyester;XL
4000000000169;de-DE;Nike Cycling Jersey with high-grip design;Athletic gear designed for workouts, training, and competitive use.;Sports;Grün;Nike;https://example.com/products/0169.jpg;Carbon;XL
4000000000170;de-DE;Water Bottle for active performance and fitness;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Rot;Nike;https://example.com/products/0170.jpg;Carbon;L
4000000000171;de-DE;dynamic Running Racket for training and competition;Athletic gear designed for workouts, training, and competitive use.;Sports;Blau;Garmin;https://example.com/products/0171.jpg;Mesh;XL
4000000000172;de-DE;Yonex Dumbbell Set for everyday use;Athletic gear designed for workouts, training, and competitive use.;Sports;Gelb;Yonex;https://example.com/products/0172.jpg;Mesh;S
4000000000173;de-DE;Puma Yoga Mat with reliable performance;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Gelb;Puma;https://example.com/products/0173.jpg;Mesh;S
4000000000174;de-DE;Yonex Dumbbell Set with shock-absorbing design;Athletic gear designed for workouts, training, and competitive use.;Sports;Gelb;Yonex;https://example.com/products/0174.jpg;Aluminium;M
4000000000175;de-DE;Yonex Cycling Jersey with reliable performance;Sport product with performance-focused materials and a lightweight feel. Available in grün with aluminium details and lightweight features.;Sports;Grün;Yonex;https://example.com/products/0175.jpg;Aluminium;S
4000000000176;de-DE;Fitness Tracker Watch;wearable device for training metrics;Sports;Grün;Garmin;https://example.com/products/0176.jpg;Carbon;XL
4000000000177;de-DE;focused Running Racket for training and competition;Reliable equipment for active movement, exercise, and outdoor sessions.;Sports;Schwarz;Adidas;https://example.com/products/0177.jpg;Polyester;M
4000000000178;de-DE;Puma Yoga Mat with portable design;Athletic gear designed for workouts, training, and competitive use.;Sports;Grün;Puma;https://example.com/products/0178.jpg;Aluminium;M
4000000000179;de-DE;Dumbbell Set for active performance and fitness;Sport product with performance-focused materials and a lightweight feel.;Sports;Blau;Nike;https://example.com/products/0179.jpg;Carbon;L
4000000000180;de-DE;Nike Running Racket for home and travel;Sport product with performance-focused materials and a lightweight feel.;Sports;Blau;Nike;https://example.com/products/0180.jpg;Polyester;L
